카테고리목록,언급횟수
가방/패션잡화>모자,103
침구/커튼/장식소품>침구단품,103
강아지 간식>기타 간식,102
공구/안전/산업용품>용접공구,102
반려동물용품>식기/급수기,102
캠핑/낚시>취사용품,102
생필품>세제/세정제,102
공구/포장재/안전용품>유/공압공구,101
가방/패션잡화>지갑,101
공구/철물/산업/안전>에어공구,101
주방/수입주방>수저/커트러리,101
공구>유/공압공구,101
쥬얼리/시계>팔찌/발찌,101
신발>여성부츠/워커,100
블랙박스/내비/자동차용품>세차/관리용품,100
욕실용품>수건/타월,99
스포츠/레저>헬스,99
완구/취미>프라모델,99
사무/오피스용품>화일/바인더,99
문구/사무용품>화방지류,98
스포츠/레저>등산,98
악기/취미>타악기,98
주방잡화>냄비/컵/수저받침,98
홈인테리어/조명>인테리어/아이디어소품,97
여성신발>부츠,97
조명/인테리어>액자,96
가전·컴퓨터>PC부품·주변기기,96
가공식품>과자/간식,96
침구/커튼/장식소품>액자/사진소품,96
홈인테리어/조명>액자/앨범/사진소품,96
인테리어소품>액자,96
주방용품>칼/커팅기구,96
계절가전>공기청정기,96
스포츠>등산·아웃도어용품,95
주방용품>제과/제빵도구,95
조명/인테리어>아로마/캔들용품,95
침구/커튼/카페트>패브릭커버/소품,95
공구/철물/산업/안전>측정공구,94
생활/건강>세탁용품,94
구두/여성화/남성화>단화/플랫슈즈,93
취미>파티용품,93
슈즈>아동/기능화,93
자전거/헬스/스포츠>자전거용품,93
생활/건강>정원/원예용품,93
도서/음반>유아,93
문구/사무용품>카드/편지지,93
스포츠/레저>자전거,93
디자인/문구/사무용품>편지지/카드,93
문구/팬시용품>편지지/엽서/봉투,93
취미/수집/파티용품>이벤트/파티용품,93
완구>놀이,92
언더웨어>내의,92
문방구/사무/종이>보드/칠판,92
홈패브릭/수예>커버류,91
가구/DIY>사무/업소용가구,91
세제/구강>일회용품,91
생활/욕실/수납용품>욕실개조용품,91
주방잡화>고무장갑,91
등산/캠핑/낚시/여행>코펠/쿨러/조리도구,91
디지털/가전>주방가전,90
스포츠/레져>골프,89
디자인/문구/사무용품>선물/포장용품,89
주방가전>홈메이드가전,89
가방/잡화>지갑/벨트,89
패션잡화>모자/비니/두건,89
문방구/사무/종이>이벤트/파티용품,89
여성의류>클럽의상/파티복,88
스포츠/레져>자전거,88
바디/헤어/향수/미용>이미용소품,88
침구/커튼>패브릭커버/소품,88
식품>가공/즉석식품,87
자전거/헬스/스포츠>헬스용품,86
가방/패션잡화>우산/양산/소품,86
가방/패션잡화>명품 패션소품/잡화,86
식품·건강>간편식·냉장·냉동,86
문구/사무용품>드로잉용품,86
생활/욕실/수납용품>정리함,85
도서/음반/DVD>자연/과학,85
가방/패션잡화>여행가방,85
건강/의료용품>건강관리용품,85
스포츠/레저>스포츠액세서리,84
장난감/완구>작동완구,84
꽃/원예>기타 원예용품,84
반려동물용품>고양이장난감,84
고양이용품>장난감,84
고양이 용품>장난감 ,84
식품>신선식품,83
공구>원예용품,83
주방용품>솥/찜기,83
자전거>자전거 부품,83
건강/의료용품>안마용품,83
미술/화방용품>미술 보조 용품,83
주방용품>컵/잔/텀블러,82
패션잡화>우산/양산/기타소품,82
자동차용품>자동차모바일용품,82
생활/욕실/수납용품>목욕/샤워용품,82
장난감>퍼즐/큐브/피젯토이,82
스포츠>헬스용품,82
화방용품>수채화용품,82
주방용품>잔/컵,82
꽃/원예/팬시/선물>돌/결혼/이벤트용품,81
키덜트/악기/취미>취미/수집용품,81
홈인테리어/조명>이벤트/파티용품,81
주방용품/수입주방>물병/컵/잔,80
캠핑/낚시>낚시,80
반려동물용품>강아지위생용품,80
강아지 용품>미용/목욕용품,80
신발>신발용품,80
등산/아웃도어>등산장비,80
자동차용품/스쿠터>세차용품,79
꽃/원예/팬시/선물>원예도구/재료,79
가공식품/즉석/간식>식용유/소스/조미료,79
스포츠의류/운동화>액세서리/잡화,79
강아지 간식>껌,78
출산·유아동>수유·이유용품,78
